
2024/09/07 (17:46:43) | ===> btop++ v.1.3.2
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get device name
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/07 (17:46:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (17:48:55) | ===> btop++ v.1.3.2
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get device name
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/07 (17:48:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (17:51:44) | ===> btop++ v.1.3.2
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get device name
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/07 (17:51:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (17:52:42) | ===> btop++ v.1.3.2
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get device name
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/07 (17:52:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (18:26:34) | ===> btop++ v.1.3.2
